email,first_name,last_name,region,sources
customer122@company.com,Kwame,Williams,EU,"crm,website"
customer588@gmail.com,Sarah,Brown,EU,"crm,erp"
customer613@yahoo.com,Müller,Díaz,US,"crm,website"
customer621@gmail.com,Alex,Garcia,US,"crm,erp"
customer55@yahoo.com,Akosua,Garcia,EU,crm
customer791@company.com,Müller,López,US,"crm,website"
customer366@gmail.com,Mike,Williams,APAC,"crm,website"
customer630@gmail.com,Chris,González,EU,"crm,website"
customer276@gmail.com,François,Kim,APAC,"crm,website"
customer197@company.com,Chris,Mensah,APAC,"crm,website"
customer260@company.com,Chris,Smith,EU,crm
customer475@yahoo.com,Chris,Brown,EU,"crm,website"
customer235@yahoo.com,André,Martínez,US,"crm,website,erp"
customer375@gmail.com,O'Brien,Johnson,US,"crm,website"
customer234@gmail.com,Kofi,Garcia,US,"crm,website"
customer404@company.com,Chris,Mensah,EU,"crm,website"
customer439@yahoo.com,Abena,Kim,APAC,"crm,website"
customer54@gmail.com,Léa,Brown,US,"crm,website"
customer469@yahoo.com,Müller,Boateng,APAC,crm
customer555@gmail.com,Léa,Díaz,US,crm
customer497@company.com,Sarah,Boateng,APAC,crm
customer540@gmail.com,Abena,Johnson,EU,"crm,website"
customer278@company.com,Abena,Mensah,APAC,"crm,website"
customer700@yahoo.com,Abena,Wang,US,"crm,website"
customer764@company.com,José,Martínez,APAC,crm
customer523@yahoo.com,André,Garcia,US,"crm,website"
customer710@company.com,Ama,Johnson,APAC,crm
customer735@gmail.com,Chris,Martínez,US,"crm,website"
customer332@company.com,Akosua,Boateng,US,"crm,website"
customer394@yahoo.com,Evans,Jones,EU,"crm,website"
customer20@company.com,Kofi,Brown,US,crm
customer479@company.com,Kwame,Garcia,US,"crm,website,erp"
customer660@gmail.com,John,Williams,APAC,"crm,website"
customer213@gmail.com,Kwame,Martínez,APAC,"crm,website"
customer157@yahoo.com,Abena,Smith,US,"crm,erp"
customer136@yahoo.com,John,Johnson,EU,"crm,website"
customer331@yahoo.com,Abena,Wang,EU,"crm,website"
customer499@yahoo.com,Abena,Smith,EU,"crm,website"
customer343@yahoo.com,O'Brien,Jones,US,"crm,website"
customer661@yahoo.com,Kwame,Díaz,US,crm
customer376@yahoo.com,Evans,Smith,APAC,"crm,website"
customer461@company.com,Alex,Kim,APAC,"crm,website"
customer447@gmail.com,André,Williams,US,"crm,website"
customer169@yahoo.com,Mike,Wang,EU,"crm,website"
customer70@yahoo.com,Sarah,López,EU,"crm,erp"
customer42@gmail.com,Akosua,Garcia,EU,crm
customer768@gmail.com,O'Brien,Garcia,EU,"crm,website,erp"
customer310@yahoo.com,Léa,Williams,EU,"crm,website"
customer565@yahoo.com,José,López,US,"crm,website"
customer715@yahoo.com,Sarah,Asante,APAC,"crm,website"
customer307@yahoo.com,Sarah,Martínez,US,crm
customer339@gmail.com,Evans,Smith,EU,crm
customer443@company.com,André,Mensah,EU,"crm,website"
customer498@gmail.com,André,Williams,US,"crm,website"
customer682@yahoo.com,Jane,Garcia,APAC,"crm,website"
customer48@gmail.com,Jane,Díaz,APAC,"crm,website"
customer545@company.com,Evans,Asante,EU,"crm,website"
customer414@gmail.com,Jane,Jones,US,crm
customer274@yahoo.com,Sarah,López,EU,"crm,erp"
customer641@company.com,Ama,López,US,"crm,erp"
customer789@gmail.com,Chris,López,US,"crm,website"
customer754@yahoo.com,Akosua,Martínez,APAC,"crm,website"
customer86@company.com,François,Smith,EU,"crm,website"
customer349@yahoo.com,Maria,Smith,APAC,"crm,website"
customer280@yahoo.com,O'Brien,Wang,US,"crm,website"
customer188@company.com,Mike,Smith,APAC,"crm,website"
customer688@yahoo.com,O'Brien,González,EU,"crm,website"
customer229@yahoo.com,Kofi,Wang,APAC,"crm,website"
customer425@company.com,John,Jones,US,crm
customer564@gmail.com,Müller,Wang,EU,"crm,website"
customer115@yahoo.com,José,Williams,US,"crm,website"
customer119@company.com,Mike,Díaz,US,crm
customer195@gmail.com,John,Boateng,APAC,"crm,website"
customer610@yahoo.com,Jane,Wang,APAC,"crm,website"
customer108@gmail.com,Maria,Brown,APAC,"crm,website"
customer765@gmail.com,Müller,Johnson,APAC,crm
customer166@yahoo.com,Yaw,Brown,EU,crm
customer216@gmail.com,Maria,Jones,US,crm
customer118@yahoo.com,Mike,Boateng,EU,"crm,website"
customer473@company.com,Ama,Brown,APAC,"crm,website"
customer580@yahoo.com,Léa,Johnson,US,"crm,website"
customer116@company.com,John,Asante,US,"crm,website"
customer457@yahoo.com,Yaw,Smith,US,crm
customer210@gmail.com,O'Brien,Díaz,US,crm
customer268@yahoo.com,Chris,Wang,EU,"crm,erp"
customer368@company.com,Müller,Williams,EU,"crm,website,erp"
customer424@yahoo.com,Evans,Mensah,APAC,crm
customer459@gmail.com,Chris,González,US,crm
customer23@company.com,André,Wang,APAC,crm
customer231@gmail.com,Müller,Mensah,US,crm
customer392@company.com,Müller,Wang,US,"crm,website"
customer422@company.com,Kwame,González,EU,crm
customer90@gmail.com,Jane,Johnson,EU,"crm,website"
customer772@yahoo.com,Chris,Boateng,US,crm
customer270@gmail.com,Maria,Boateng,US,"crm,website"
customer160@yahoo.com,Evans,Garcia,US,"crm,website"
customer35@company.com,Akosua,González,US,crm
customer242@company.com,Abena,Asante,EU,crm
customer237@gmail.com,Mike,Smith,EU,crm
customer113@company.com,José,Garcia,US,"crm,website"
customer254@company.com,Mike,Martínez,US,"crm,website"
customer203@company.com,Chris,Mensah,APAC,"crm,website"
customer73@yahoo.com,Kofi,González,EU,"website,erp"
customer155@company.com,Akosua,Asante,EU,website
customer727@yahoo.com,José,Johnson,EU,website
customer85@yahoo.com,Sarah,Garcia,EU,website
customer599@company.com,John,Williams,US,website
customer595@yahoo.com,O'Brien,Johnson,EU,website
customer592@yahoo.com,François,Boateng,EU,website
customer38@company.com,Léa,Asante,APAC,website
customer351@gmail.com,Yaw,González,APAC,"website,erp"
customer7@yahoo.com,Kwame,Díaz,US,website
customer753@gmail.com,Jane,Brown,EU,website
customer763@yahoo.com,Léa,Brown,EU,website
customer264@gmail.com,Kwame,Williams,US,website
customer674@company.com,Ama,Brown,EU,"website,erp"
customer666@gmail.com,José,Martínez,EU,website
customer9@gmail.com,Evans,Smith,US,website
customer652@yahoo.com,Ama,Asante,EU,"website,erp"
customer154@yahoo.com,Sarah,Wang,US,website
customer602@company.com,John,Díaz,EU,website
customer455@company.com,O'Brien,Martínez,US,website
customer121@yahoo.com,Chris,Williams,US,website
customer720@gmail.com,Abena,Kim,EU,website
customer619@yahoo.com,Kofi,González,US,website
customer427@yahoo.com,Alex,Martínez,US,website
customer733@yahoo.com,O'Brien,Johnson,EU,website
customer222@gmail.com,Müller,Smith,US,website
customer301@yahoo.com,François,Boateng,US,website
customer713@company.com,Léa,Asante,EU,website
customer589@yahoo.com,André,Mensah,EU,website
customer573@gmail.com,Akosua,López,US,"website,erp"
customer452@company.com,Evans,Garcia,APAC,"website,erp"
customer624@gmail.com,Evans,Garcia,APAC,"website,erp"
customer522@gmail.com,José,Johnson,APAC,website
customer667@yahoo.com,André,Williams,EU,website
customer570@gmail.com,O'Brien,Kim,EU,website
customer273@gmail.com,Akosua,Brown,APAC,website
customer89@company.com,Chris,Mensah,APAC,website
customer251@company.com,Jane,López,US,website
customer579@gmail.com,John,Díaz,EU,website
customer680@company.com,Müller,Garcia,US,"website,erp"
customer358@yahoo.com,Abena,Martínez,US,"website,erp"
customer253@yahoo.com,Maria,Smith,US,website
customer247@yahoo.com,Abena,Kim,US,website
customer289@yahoo.com,Chris,Díaz,EU,website
customer3@gmail.com,Alex,Martínez,US,website
customer535@yahoo.com,Sarah,Garcia,US,website
customer706@yahoo.com,André,Mensah,US,website
customer649@yahoo.com,Mike,González,EU,website
customer378@gmail.com,Abena,Martínez,EU,website
customer184@yahoo.com,Ama,Brown,US,website
customer205@yahoo.com,Chris,Williams,US,website
customer510@gmail.com,José,Martínez,EU,"website,erp"
customer341@company.com,Yaw,Jones,APAC,website
customer383@company.com,Kwame,Williams,APAC,"website,erp"
customer514@yahoo.com,Abena,Johnson,EU,website
customer211@yahoo.com,Evans,Smith,US,website
customer732@gmail.com,Léa,Brown,APAC,website
customer748@yahoo.com,André,Williams,EU,"website,erp"
customer400@yahoo.com,Yaw,Boateng,US,website
customer192@gmail.com,Akosua,Asante,US,website
customer314@company.com,Kofi,González,US,website
customer265@yahoo.com,Ama,López,EU,website
customer692@company.com,Léa,Asante,APAC,website
customer684@gmail.com,José,Kim,EU,website
customer146@company.com,Ama,Brown,EU,"website,erp"
customer474@gmail.com,Yaw,González,APAC,website
customer790@yahoo.com,François,González,APAC,website
customer551@company.com,Yaw,Jones,US,website
customer302@company.com,Abena,Johnson,EU,website
customer402@gmail.com,Chris,Mensah,EU,website
customer384@gmail.com,Ama,Asante,EU,website
customer382@yahoo.com,John,Díaz,US,website
customer340@yahoo.com,O'Brien,Martínez,US,website
customer415@yahoo.com,José,Johnson,EU,website
customer364@yahoo.com,Abena,Kim,EU,"website,erp"
customer673@yahoo.com,Evans,Wang,APAC,website
customer636@gmail.com,Abena,Johnson,APAC,"website,erp"
customer516@gmail.com,Kofi,Jones,APAC,website
customer663@gmail.com,Jane,Asante,APAC,"website,erp"
customer304@yahoo.com,Kofi,González,US,website
customer488@company.com,Ama,López,US,website
customer261@gmail.com,François,González,EU,website
customer429@gmail.com,Yaw,Jones,EU,website
customer665@company.com,Kwame,Williams,US,website
customer442@yahoo.com,Chris,Mensah,EU,"website,erp"
customer548@company.com,Alex,Johnson,APAC,"website,erp"
customer637@yahoo.com,Müller,Smith,US,website
customer430@yahoo.com,François,Boateng,US,website
customer34@yahoo.com,Kofi,Jones,APAC,website
customer286@yahoo.com,André,Mensah,EU,website
customer12@gmail.com,Yaw,González,APAC,website
customer574@yahoo.com,Abena,Martínez,APAC,website
customer319@yahoo.com,Alex,Martínez,EU,"website,erp"
customer263@company.com,John,Díaz,EU,website
customer369@gmail.com,O'Brien,Martínez,EU,website
customer193@yahoo.com,Evans,Wang,APAC,website
customer56@company.com,José,Johnson,APAC,website
customer183@gmail.com,Ama,López,APAC,website
customer558@gmail.com,François,Boateng,EU,website
customer266@company.com,André,Mensah,US,website
customer303@gmail.com,José,Johnson,EU,website
customer747@gmail.com,Léa,Brown,EU,website
customer730@yahoo.com,José,Martínez,US,website
customer703@yahoo.com,Evans,Smith,US,website
customer406@yahoo.com,Chris,Mensah,US,website
customer416@company.com,Sarah,Wang,US,website
customer227@company.com,John,Díaz,US,website
customer387@gmail.com,John,Díaz,APAC,website
customer485@company.com,Müller,Garcia,US,website
customer152@company.com,André,Williams,US,website
customer102@gmail.com,Akosua,Asante,APAC,website
customer300@gmail.com,Abena,Kim,EU,website
customer239@company.com,Evans,Wang,APAC,website
customer444@gmail.com,Kofi,González,EU,website
customer583@yahoo.com,Sarah,Garcia,EU,website
customer657@gmail.com,Sarah,Wang,US,website
customer769@yahoo.com,Jane,Asante,US,website
customer654@gmail.com,O'Brien,Kim,EU,website
customer377@company.com,François,González,EU,"website,erp"
customer411@gmail.com,Yaw,Jones,EU,website
customer593@company.com,Evans,Smith,US,website
customer638@company.com,Ama,Asante,APAC,website
customer554@company.com,Evans,Smith,EU,website
customer189@gmail.com,Ama,Asante,EU,website
customer431@company.com,O'Brien,Martínez,EU,website
customer290@company.com,Müller,Garcia,APAC,"website,erp"
customer141@gmail.com,François,Jones,EU,"website,erp"
customer423@gmail.com,Léa,Brown,EU,website
customer778@yahoo.com,Akosua,López,EU,website
customer776@company.com,O'Brien,Kim,EU,"website,erp"
customer232@yahoo.com,Müller,Wang,EU,website
customer678@gmail.com,Kwame,Díaz,EU,website
customer567@gmail.com,François,Boateng,US,"website,erp"
customer147@gmail.com,John,Williams,EU,website
customer478@yahoo.com,Kofi,González,EU,"website,erp"
customer187@yahoo.com,Maria,Garcia,US,website
customer633@gmail.com,Akosua,Brown,US,website
customer453@gmail.com,Léa,Asante,EU,website
customer770@company.com,José,Kim,US,website
customer374@company.com,Abena,Johnson,US,website
customer795@gmail.com,Jane,López,APAC,website
customer407@company.com,Müller,Garcia,US,website
customer212@company.com,Yaw,Boateng,APAC,website
customer779@company.com,Akosua,Brown,US,website
customer397@yahoo.com,Alex,Kim,EU,website
customer32@company.com,Alex,Martínez,US,"website,erp"
customer500@company.com,Mike,Jones,EU,website
customer744@gmail.com,Léa,Asante,EU,website
customer174@gmail.com,José,Kim,US,website
customer794@company.com,Abena,Martínez,EU,website
customer27@gmail.com,Léa,Asante,US,"website,erp"
customer262@yahoo.com,Yaw,González,EU,website
customer99@gmail.com,Chris,Williams,US,website
customer165@gmail.com,Sarah,Smith,EU,"website,erp"
customer585@gmail.com,François,Jones,US,website
customer52@yahoo.com,Léa,Brown,US,"website,erp"
customer226@yahoo.com,Kofi,González,US,website
customer11@company.com,Abena,Kim,US,website
customer338@company.com,Abena,Kim,EU,website
customer25@yahoo.com,Alex,Martínez,US,website
customer490@yahoo.com,François,Jones,US,website
customer563@company.com,John,Díaz,APAC,website
customer360@gmail.com,André,Díaz,US,website
customer685@yahoo.com,Abena,Johnson,APAC,website
customer568@yahoo.com,Chris,Mensah,US,"website,erp"
customer503@company.com,Chris,Mensah,EU,website
customer728@company.com,Alex,Kim,EU,website
customer622@yahoo.com,François,Jones,US,website
customer372@gmail.com,Maria,Smith,APAC,website
customer225@gmail.com,Léa,López,APAC,website
customer609@gmail.com,André,Díaz,EU,website
customer156@gmail.com,José,Martínez,EU,website
customer515@company.com,Sarah,Smith,EU,website
customer631@yahoo.com,Kofi,Boateng,US,website
customer436@yahoo.com,François,González,EU,website
customer543@gmail.com,Kwame,Díaz,EU,website
customer357@gmail.com,José,Johnson,US,website
customer675@gmail.com,Mike,Boateng,APAC,website
customer647@company.com,Léa,López,US,"website,erp"
customer743@company.com,André,Díaz,EU,website
customer291@gmail.com,Abena,Johnson,EU,website
customer354@gmail.com,André,Mensah,APAC,website
customer13@yahoo.com,John,Williams,US,website
customer724@yahoo.com,Chris,Díaz,US,website
customer590@company.com,Sarah,Wang,US,"website,erp"
customer576@gmail.com,Jane,Asante,US,website
customer87@gmail.com,Maria,Garcia,EU,"website,erp"
customer190@yahoo.com,John,Williams,EU,erp
customer8@company.com,François,Boateng,US,erp
customer526@yahoo.com,Evans,Smith,EU,erp
customer333@gmail.com,Alex,Kim,US,erp
customer746@company.com,Chris,Díaz,EU,erp
customer773@company.com,Yaw,Boateng,EU,erp
customer66@gmail.com,Akosua,López,EU,erp
customer344@company.com,Mike,González,APAC,erp
customer417@gmail.com,Chris,Mensah,EU,erp
customer345@gmail.com,Yaw,Jones,EU,erp
customer569@company.com,Léa,Brown,EU,erp
customer653@company.com,Müller,Smith,US,erp
customer114@gmail.com,Sarah,Wang,US,erp
